sample	type	PC1	PC2
2015_029_S16_L002	mlm	0.0399165934180146	-0.0329964720305422
2016_010_S13_L002	mlm	0.0090457115260526	-0.00649777014537182
2016_021_S46_L001	mlf	0.0220842342150256	-0.0389729328558481
2016_028_S18_L002	mlm	0.0414187667014324	-0.0841979386402874
2017_002_merged	mlf	0.0307581233178138	0.0109394796833047
2017_047_S7_L002	flf	0.031022737422414	-0.0131877327784483
2017_111_S4_L002	flf	0.0111243116518658	0.0062300555538383
2017_127_S15_L002	mlm	0.0268514124678888	-0.0266757329771703
2018_007_merged	mlf	-0.281685395905576	-0.0361906838431501
2018_012_S17_L002	mlm	0.0748601763191071	-0.107459105865051
2018_014_merged	mlf	-0.00349431263357104	0.240866733777989
2018_034_merged	mlf	0.00131544444637786	0.0131304068156977
2018_067_S3_L002	flf	-0.00430123679468936	-0.00129329657155481
2018_072_S6_L002	flf	0.0192505532055972	0.0174030929343256
2018_097_S2_L002	flf	-0.288301377272679	-0.0278936752870186
2019_009_S14_L002	mlm	0.0164955217284567	-0.00548157112475047
2019_016_S11_L002	mlm	0.00838711384059822	0.279702835398871
2019_025_S10_L002	mlm	0.0184577122235584	-0.0209231666356493
2019_045_merged	mlf	0.00596909528965561	-0.0249805920334431
2019_046_S47_L001	flf	0.00490461848141014	-0.00794026037235369
2019_052_S1_L002	flf	0.02131640568053	-0.00317728349733662
2019_054_merged	mlf	0.0154024957598593	-0.00738446021214897
2019_075_merged	flf	0.00775251801884597	-0.00644710917977941
2019_082_merged	flf	0.0475782037779569	-0.0763001655895185
2019_087_S12_L002	mlm	0.0149114216562679	-0.000588588062696749
2019_093_S5_L002	flf	0.0241267695028063	-0.0102862899340178
2019_110_S9_L002	mlm	0.0231803468000705	-0.00105461419430498
2022_084_merged	mlf	0.0148563316890654	-0.00789785111337285
2022_099_merged	mlf	0.0108710765411792	-0.00196676333414653
2022_106_merged	mlf	0.0359246269246644	-0.0184785478860653
